molecule_chembl_id,type,standard_units,standard_value,smiles
CHEMBL3758646,Ki,nM,389.0,CC1(C)OCc2c(Nc3n[nH]c(Cl)c3Cl)nc(-c3cn[nH]c3)nc21
CHEMBL3758958,Ki,nM,17.0,CC1(C)OCc2c(Nc3c[nH]c4ccccc34)nc(-c3cn[nH]c3)nc21
CHEMBL3758954,Ki,nM,747.0,CC1(C)OCc2c(Nc3nsc4ccccc34)nc(-c3cn[nH]c3)nc21
CHEMBL3759615,Ki,nM,3.0,CC1(C)OCc2c(Nc3n[nH]c4c(F)cccc34)nc(-c3cn[nH]c3)nc21
CHEMBL3759499,Ki,nM,2.0,CC1(C)OCc2c(Nc3n[nH]c4cc(F)ccc34)nc(-c3cn[nH]c3)nc21
CHEMBL3758283,Ki,nM,8.0,CC1(C)OCc2c(Nc3n[nH]c4ccc(F)cc34)nc(-c3cn[nH]c3)nc21
CHEMBL3759935,Ki,nM,17.0,CC1(C)OCc2c(Nc3n[nH]c4cccc(F)c34)nc(-c3cn[nH]c3)nc21
CHEMBL3758948,Ki,nM,134.0,CC1(C)OCc2c(Nc3n[nH]c4c(C(F)(F)F)cccc34)nc(-c3cn[nH]c3)nc21
CHEMBL3758602,Ki,nM,2.0,CC1(C)OCc2c(Nc3n[nH]c4c(Cl)cccc34)nc(-c3cn[nH]c3)nc21
CHEMBL3758773,Ki,nM,22.4,CC1(C)OCc2c(Nc3n[nH]c4cc(Cl)ccc34)nc(-c3cn[nH]c3)nc21
CHEMBL3760072,Ki,nM,10.4,CC1(C)OCc2c(Nc3n[nH]c4c(F)cc(F)cc34)nc(-c3cn[nH]c3)nc21
CHEMBL3758700,Ki,nM,4.0,CC1(C)OCc2c(Nc3n[nH]c4c(Cl)c(F)ccc34)nc(-c3cn[nH]c3)nc21
CHEMBL3758862,Ki,nM,16.0,CC1(C)OCc2c(Nc3n[nH]c4c(Cl)cc(F)cc34)nc(-c3cn[nH]c3)nc21
CHEMBL3758830,Ki,nM,57.0,Cn1nc(Nc2nc(-c3cn[nH]c3)nc3c2COC3(C)C)c2cccc(F)c21
